"","MaxTemp","MinTemp","DegreeDay"
"318",89,"19",13
"319",90,"19",14
"320",91,"19",14
"321",92,"19",14
"322",93,"19",15
"323",94,"19",15
"324",95,"19",15
"325",96,"19",15
"326",97,"19",15
"327",98,"19",15
"328",99,"19",16
"329",100,"19",16
"330",101,"19",16
"331",102,"19",16
"332",103,"19",16
"333",104,"19",16
"334",105,"19",17
"335",106,"19",17
"336",107,"19",17
"337",108,"19",17
"338",109,"19",17
"339",110,"19",17
"340",111,"19",18
"341",112,"19",18
"342",113,"19",18
"343",114,"19",18
"344",115,"19",18
"345",116,"19",18
"346",48,"20",0
"347",49,"20",0
"348",50,"20",0
"349",51,"20",0
"350",52,"20",0
"351",53,"20",0
"352",54,"20",1
"353",55,"20",1
"354",56,"20",1
"355",57,"20",2
"356",58,"20",2
"357",59,"20",2
"358",60,"20",2
"359",61,"20",2
"360",62,"20",2
"361",63,"20",3
"362",64,"20",3
"363",65,"20",3
"364",66,"20",5
"365",67,"20",5
"366",68,"20",5
"367",69,"20",5
"368",70,"20",5
"369",71,"20",5
"370",72,"20",7
"371",73,"20",7
"372",74,"20",7
"373",75,"20",8
"374",76,"20",8
"375",77,"20",8
"376",78,"20",9
"377",79,"20",9
"378",80,"20",9
"379",81,"20",10
"380",82,"20",10
"381",83,"20",10
"382",84,"20",11
"383",85,"20",11
"384",86,"20",11
"385",87,"20",13
"386",88,"20",13
"387",89,"20",13
"388",90,"20",14
"389",91,"20",14
"390",92,"20",14
"391",93,"20",15
"392",94,"20",15
"393",95,"20",15
"394",96,"20",15
"395",97,"20",15
"396",98,"20",15
"397",99,"20",16
"398",100,"20",16
"399",101,"20",16
"400",102,"20",16
"401",103,"20",16
"402",104,"20",16
"403",105,"20",17
"404",106,"20",17
"405",107,"20",17
"406",108,"20",17
"407",109,"20",17
"408",110,"20",17
"409",111,"20",18
"410",112,"20",18
"411",113,"20",18
"412",114,"20",18
"413",115,"20",18
"414",116,"20",18
"415",48,"21",0
"416",49,"21",0
"417",50,"21",0
"418",51,"21",0
"419",52,"21",0
"420",53,"21",0
"421",54,"21",1
"422",55,"21",1
"423",56,"21",1
"424",57,"21",2
"425",58,"21",2
"426",59,"21",2
"427",60,"21",3
"428",61,"21",3
"429",62,"21",3
"430",63,"21",4
"431",64,"21",4
"432",65,"21",4
"433",66,"21",5
"434",67,"21",5
"435",68,"21",5
"436",69,"21",6
"437",70,"21",6
"438",71,"21",6
"439",72,"21",7
"440",73,"21",7
"441",74,"21",7
"442",75,"21",8
"443",76,"21",8
"444",77,"21",8
"445",78,"21",9
"446",79,"21",9
"447",80,"21",9
"448",81,"21",10
"449",82,"21",10
"450",83,"21",10
"451",84,"21",12
"452",85,"21",12
"453",86,"21",12
"454",87,"21",13
"455",88,"21",13
"456",89,"21",13
"457",90,"21",14
"458",91,"21",14
"459",92,"21",14
"460",93,"21",15
"461",94,"21",15
"462",95,"21",15
"463",96,"21",16
"464",97,"21",16
"465",98,"21",16
"466",99,"21",16
"467",100,"21",16
"468",101,"21",16
"469",102,"21",17
"470",103,"21",17
"471",104,"21",17
"472",105,"21",17
"473",106,"21",17
"474",107,"21",17
"475",108,"21",18
"476",109,"21",18
"477",110,"21",18
"478",111,"21",18
"479",112,"21",18
"480",113,"21",18
"481",114,"21",19
"482",115,"21",19
"483",116,"21",19
"484",48,"22",0
"485",49,"22",0
"486",50,"22",0
"487",51,"22",0
"488",52,"22",0
"489",53,"22",0
"490",54,"22",1
"491",55,"22",1
"492",56,"22",1
"493",57,"22",2
"494",58,"22",2
"495",59,"22",2
"496",60,"22",3
"497",61,"22",3
"498",62,"22",3
"499",63,"22",4
"500",64,"22",4
"501",65,"22",4
"502",66,"22",5
"503",67,"22",5
"504",68,"22",5
"505",69,"22",6
"506",70,"22",6
"507",71,"22",6
"508",72,"22",7
"509",73,"22",7
"510",74,"22",7
"511",75,"22",8
"512",76,"22",8
"513",77,"22",8
"514",78,"22",9
"515",79,"22",9
"516",80,"22",9
"517",81,"22",10
"518",82,"22",10
"519",83,"22",10
"520",84,"22",12
"521",85,"22",12
"522",86,"22",12
"523",87,"22",13
"524",88,"22",13
"525",89,"22",13
"526",90,"22",14
"527",91,"22",14
"528",92,"22",14
"529",93,"22",15
"530",94,"22",15
"531",95,"22",15
"532",96,"22",16
"533",97,"22",16
"534",98,"22",16
"535",99,"22",16
"536",100,"22",16
"537",101,"22",16
"538",102,"22",17
"539",103,"22",17
"540",104,"22",17
"541",105,"22",17
"542",106,"22",17
"543",107,"22",17
"544",108,"22",18
"545",109,"22",18
"546",110,"22",18
"547",111,"22",18
"548",112,"22",18
"549",113,"22",18
"550",114,"22",19
"551",115,"22",19
"552",116,"22",19
"553",48,"23",0
"554",49,"23",0
"555",50,"23",0
"556",51,"23",0
"557",52,"23",0
"558",53,"23",0
"559",54,"23",1
"560",55,"23",1
"561",56,"23",1
"562",57,"23",2
"563",58,"23",2
"564",59,"23",2
"565",60,"23",3
"566",61,"23",3
"567",62,"23",3
"568",63,"23",4
"569",64,"23",4
"570",65,"23",4
"571",66,"23",5
"572",67,"23",5
"573",68,"23",5
"574",69,"23",6
"575",70,"23",6
"576",71,"23",6
"577",72,"23",7
"578",73,"23",7
"579",74,"23",7
"580",75,"23",8
"581",76,"23",8
"582",77,"23",8
"583",78,"23",9
"584",79,"23",9
"585",80,"23",9
"586",81,"23",10
"587",82,"23",10
"588",83,"23",10
"589",84,"23",12
"590",85,"23",12
"591",86,"23",12
"592",87,"23",13
"593",88,"23",13
"594",89,"23",13
"595",90,"23",14
"596",91,"23",14
"597",92,"23",14
"598",93,"23",15
"599",94,"23",15
"600",95,"23",15
"601",96,"23",16
"602",97,"23",16
"603",98,"23",16
"604",99,"23",16
"605",100,"23",16
"606",101,"23",16
"607",102,"23",17
"608",103,"23",17
"609",104,"23",17
"610",105,"23",17
"611",106,"23",17
"612",107,"23",17
"613",108,"23",18
"614",109,"23",18
"615",110,"23",18
"616",111,"23",18
"617",112,"23",18
"618",113,"23",18
"619",114,"23",19
"620",115,"23",19
"621",116,"23",19
"622",48,"24",0
"623",49,"24",0
"624",50,"24",0
"625",51,"24",0
"626",52,"24",0
"627",53,"24",0
"628",54,"24",1
"629",55,"24",1
"630",56,"24",1
"631",57,"24",2
"632",58,"24",2
"633",59,"24",2
"634",60,"24",3
"635",61,"24",3
"636",62,"24",3
"637",63,"24",4
"638",64,"24",4
"639",65,"24",4
"640",66,"24",5
"641",67,"24",5
"642",68,"24",5
"643",69,"24",6
"644",70,"24",6
"645",71,"24",6
"646",72,"24",7
"647",73,"24",7
"648",74,"24",7
"649",75,"24",8
"650",76,"24",8
"651",77,"24",8
"652",78,"24",10
"653",79,"24",10
"654",80,"24",10
"655",81,"24",11
"656",82,"24",11
"657",83,"24",11
"658",84,"24",12
"659",85,"24",12
"660",86,"24",12
"661",87,"24",13
"662",88,"24",13
"663",89,"24",13
"664",90,"24",14
"665",91,"24",14
"666",92,"24",14
"667",93,"24",15
"668",94,"24",15
"669",95,"24",15
"670",96,"24",16
"671",97,"24",16
"672",98,"24",16
"673",99,"24",17
"674",100,"24",17
"675",101,"24",17
"676",102,"24",17
"677",103,"24",17
"678",104,"24",17
"679",105,"24",18
"680",106,"24",18
"681",107,"24",18
"682",108,"24",18
"683",109,"24",18
"684",110,"24",18
"685",111,"24",19
"686",112,"24",19
"687",113,"24",19
"688",114,"24",19
"689",115,"24",19
"690",116,"24",19
"691",48,"25",0
"692",49,"25",0
"693",50,"25",0
"694",51,"25",0
"695",52,"25",0
"696",53,"25",0
"697",54,"25",1
"698",55,"25",1
"699",56,"25",1
"700",57,"25",2
"701",58,"25",2
"702",59,"25",2
"703",60,"25",3
"704",61,"25",3
"705",62,"25",3
"706",63,"25",4
"707",64,"25",4
"708",65,"25",4
"709",66,"25",5
"710",67,"25",5
"711",68,"25",5
"712",69,"25",6
"713",70,"25",6
"714",71,"25",6
"715",72,"25",7
"716",73,"25",7
"717",74,"25",7
"718",75,"25",8
"719",76,"25",8
"720",77,"25",8
"721",78,"25",10
"722",79,"25",10
"723",80,"25",10
"724",81,"25",11
"725",82,"25",11
"726",83,"25",11
"727",84,"25",12
"728",85,"25",12
"729",86,"25",12
"730",87,"25",13
"731",88,"25",13
"732",89,"25",13
"733",90,"25",14
"734",91,"25",14
"735",92,"25",14
"736",93,"25",15
"737",94,"25",15
"738",95,"25",15
"739",96,"25",16
"740",97,"25",16
"741",98,"25",16
"742",99,"25",17
"743",100,"25",17
"744",101,"25",17
"745",102,"25",17
"746",103,"25",17
"747",104,"25",17
"748",105,"25",18
"749",106,"25",18
"750",107,"25",18
"751",108,"25",18
"752",109,"25",18
"753",110,"25",18
"754",111,"25",19
"755",112,"25",19
"756",113,"25",19
"757",114,"25",19
"758",115,"25",19
"759",116,"25",19
"760",48,"26",0
"761",49,"26",0
"762",50,"26",0
"763",51,"26",0
"764",52,"26",0
"765",53,"26",0
"766",54,"26",1
"767",55,"26",1
"768",56,"26",1
"769",57,"26",2
"770",58,"26",2
"771",59,"26",2
"772",60,"26",3
"773",61,"26",3
"774",62,"26",3
"775",63,"26",4
"776",64,"26",4
"777",65,"26",4
"778",66,"26",5
"779",67,"26",5
"780",68,"26",5
"781",69,"26",6
"782",70,"26",6
"783",71,"26",6
"784",72,"26",7
"785",73,"26",7
"786",74,"26",7
"787",75,"26",9
"788",76,"26",9
"789",77,"26",9
"790",78,"26",10
"791",79,"26",10
"792",80,"26",10
"793",81,"26",11
"794",82,"26",11
"795",83,"26",11
"796",84,"26",12
"797",85,"26",12
"798",86,"26",12
"799",87,"26",14
"800",88,"26",14
"801",89,"26",14
"802",90,"26",15
"803",91,"26",15
"804",92,"26",15
"805",93,"26",16
"806",94,"26",16
"807",95,"26",16
"808",96,"26",16
"809",97,"26",16
"810",98,"26",16
"811",99,"26",17
"812",100,"26",17
"813",101,"26",17
"814",102,"26",18
"815",103,"26",18
"816",104,"26",18
"817",105,"26",18
"818",106,"26",18
"819",107,"26",18
